03-06-2021,1,700,kWh,200,m3
04-06-2021,2,800,kWh,123,m3
05-06-2021,3,900,kWh,412,m3
06-06-2021,4,1000,kWh,492,m3
07-06-2021,5,1100,kWh,351,m3
08-06-2021,6,1200,kWh,354,m3
09-06-2021,7,1300,kWh,826,m3
10-06-2021,8,1400,kWh,715,m3
11-06-2021,9,1500,kWh,561,m3
12-06-2021,10,1600,kWh,162,m3
13-06-2021,11,1700,kWh,192,m3
14-06-2021,12,1800,kWh,479,m3
15-06-2021,13,1900,kWh,493,m3
16-06-2021,14,2000,kWh,506,m3
17-06-2021,15,2100,kWh,520,m3
18-06-2021,16,2200,kWh,533,m3
19-06-2021,17,2300,kWh,547,m3
20-06-2021,18,2400,kWh,560,m3
21-06-2021,19,2500,kWh,574,m3
22-06-2021,20,2600,kWh,587,m3
23-06-2021,21,2700,kWh,601,m3
24-06-2021,22,2800,kWh,614,m3
25-06-2021,23,2900,kWh,628,m3
